review_date,hotel_name,review
7/21/2017,Park Plaza County Hall London, LOCATION perfect STAFF we went into the wrong hotel initially thinking that the Park Plaza Building at the westminster bridge is the same as the county hall hotel It wasn t The staff at the Park Plaza Westminster hotel were all very warm and welcoming Their hospitality felt genuine right from the guy who greeted us at the main entrance all the way up to the lady at the reception who gave us directions going to the Park Plaza county hall hotel which was the adjacent building at the back They were all smiley and happy to assist us On the other hand the staff at the county hotel were polite and did their job alright The lady at the reception gave us a voucher for two complimentary drinks at the bar while we waited and they checked if the room was the ready It was a quick 10min wait which was fine No greeting nor smile at all from the bartender and the waiter at the Spectrum Bar It was 1500H and the bar was definitely not busy The difference between our experience between the staff from both Park Plaza Hotels was just really evident that I had to put it here ROOM SUPERIOR Room We stayed for our anniversary We got a complimentary full bottle of wine greeting card and they decorated our room with petals and swan folded towels We were also assigned to a corner room with a view of the big ben and london eye which was very beautiful at night The TV monitor in the room serves like a multimedia browser where you can view your current room bill do self check out watch youtube videos listen to the radio etc The bedroom and bath were just the right size It was not small but not too big as well We didn t have a lot of luggage with us so it was just right Mini bar was stocked with the basics We liked that there were extra pillows for us to use Bed was comfortable to sleep on but was really really squeaky and we re not big people at all if you know what i mean BREAKFAST good old continental and english breakfast 
7/21/2017,Park Plaza County Hall London, Air con control in room did not work properly had to ask reception to turn it off as it was freezing despite turning it to 5 degrees Room very small for a 4 night stay Dispute at check out regarding bar bill all drinks paid for as taken but still had some charged to room 
7/21/2017,Park Plaza County Hall London, Slow elevators lots of wait time Breakfast downstairs not the same as Mezzanine and not as good 
7/21/2017,Park Plaza County Hall London, Great staff comfortable quiet rooms Breakfast upstairs was good 
7/20/2017,Park Plaza County Hall London, Two large bath towels No hand towels or washcloths Sink in bathroom about a foot lower than normal No tub no lip on shower area a wet room with water everytwhere No window to outside Electric went out at 1 30 am no air to our room temperature got to be extremely warm well over 90 degrees Interior room so it was pitch black Up all night staff very unpleasant and not accommodating No announcements or explanations made regarding blackout Very scary to be in a high rise in a city that s had terrorist attacks high rise fires and have a full power outage with no announcements No assistance or emergency lighting provided Manager would not refund night We left before stay was over The night manager was horrible 
7/20/2017,Park Plaza County Hall London, We had a horrible stay Nothing other than location satisfied 
7/20/2017,Park Plaza County Hall London, The room was very much smaller than I anticipated It must have been smaller than it should have been because the receptionist informed me that it was very small as I checked in I had expected to have a small living area and that was why I booked this particular hotel as I did not want a traditional hotel room I did not get that 
7/20/2017,Park Plaza County Hall London, We had a leaky kettle they were light on with milk coffee in the room
7/20/2017,Park Plaza County Hall London, I liked that there were crockery cutlery a microwave in the room
7/19/2017,Park Plaza County Hall London, Apparently the hotel guests before us had replaced 2 of the minibar drinks with their own and as a result we were charged for the 2 drinks Not many cafes and food option nearby
7/19/2017,Park Plaza County Hall London, The location is fantastic about 10 minutes walk to the Waterloo Station and London Eye The Studio Double room is made up of 2 smaller rooms interconnected by a mini kitchenette There are kitchenware and microwave for use One room consist of a queen size bed and a sofa bed in the other Suitable for family of 4 There is a public laundry room for those who would like their laundry to be done 
7/18/2017,Park Plaza County Hall London, Leaking shower Electricity went out one night but we were compensated Temperature in room hard to regulate 
7/18/2017,Park Plaza County Hall London, Plenty of room in the studio double Comfy bed Great location to Westminster sights and right off the Waterloo tube stop 
7/18/2017,Park Plaza County Hall London, Long delay to get into room even though I arrived after check in time Room was dirty London eye view wasn t proper as blocked by other hotel shouldn t have to pay for the poor view
7/18/2017,Park Plaza County Hall London, Nice breakfast and dinner avaliable
7/18/2017,Park Plaza County Hall London, Very poor room cleanliness very disorganised housekeeping no towels in room on second day had to ask twice to get it resolved
7/18/2017,Park Plaza County Hall London, Friendly staff good location
7/18/2017,Park Plaza County Hall London, The bathroom needs update the layout is awkward and the faucet is old Also the bathtub door is half way there is no way to avoid water on the floor while taking a shower Secondly the beds are not comfortable enough The hotel can do a little bit considering the rate charged on each room Lastly the air freshener used by housekeeping after daily cleaning smells terrible please change it 
7/18/2017,Park Plaza County Hall London, The hotel location is great It is a walking distance to London eye westiminster bridge parliament square Westminster Abbey Buckingham palace and many more The staffs are great and very responsive to request 
7/17/2017,Park Plaza County Hall London, As a family of 4 with two young teenagers the room was a bit tight 
7/17/2017,Park Plaza County Hall London, It was close to London Eye and some other attractions as well as Waterloo station Room was clean and concierge Ceasar was extremely helpful Breakfast was good 
7/17/2017,Park Plaza County Hall London, Bath was too high to step into safely Glass screen was loose unsecured Not enough tea bags milk sugar When we phoned for more tea bags a handful of everything else other than tea bags was given to us 
7/17/2017,Park Plaza County Hall London, Breakfast was excellent Gym was handy 
7/17/2017,Park Plaza County Hall London, The sleeper couch which acts as the second bed was uncomfortable and not practical when open as it was in the way of the door 
7/17/2017,Park Plaza County Hall London, Location is great close to the underground and over ground stations Close to super attractions 
7/16/2017,Park Plaza County Hall London, Was Not that Clean lot of Things like cushion Cover forgotten happened but staff was Friendly ans fast Breakfast queue
7/16/2017,Park Plaza County Hall London, Close to eye and park good f r kids Bit staff is very Friendly and helpfull 
7/16/2017,Park Plaza County Hall London, Staff extremely helpful and friendly Room upgrade on arrival free of charge to a penthouse suite Fantastic for us as was our first time away just the two of us in 3 years 2 min walk from Waterloo station
7/16/2017,Park Plaza County Hall London, Was indicated that room family friendly Room was 1 queen and 1 sofa Didn t realise second bed was a sofa bed Sofa not comfortable at all for 2 children 11 plus sleeping together Asked staff if a better bed room was possible which was not Offered to try make sofa bed more comfortable but nothing was done 
7/16/2017,Park Plaza County Hall London, Location was good room size ok Bathroom size ok
7/16/2017,Park Plaza County Hall London, Seemed slightly shambolic I checked in around 7pm and yet I was told I wouldn t have towels until an hour later although when I actually went to the room the towels were there but the bathroom just seemed a little ehhh I kept finding stray hairs around the place that didn t belong to me Bit gross 
7/16/2017,Park Plaza County Hall London, The location is good 
7/14/2017,Park Plaza County Hall London, Milk in the room fridge Off Breakfast staff 3 days out of the 6 I had to ask for coffee No one checked me All other people couples were asked Perhaps a singles thing Otherwise all good Staff friendly and helpful Location brill 
7/14/2017,Park Plaza County Hall London, Friendly staff Location 
7/13/2017,Park Plaza County Hall London, Since we booked studio room with 2 children the hotel did not provide extra sleeping pillows and blanket for the extra bed in the room 
7/13/2017,Park Plaza County Hall London, Very good breakfast and nice staff for service We would love to stay here again if there any chance
7/13/2017,Park Plaza County Hall London, The only thing that mark the hotel down on was the room didn t have a window that opened Not a problem with the aircon on but I like fresh air when I sleep The bed was a little uncomfortable but no bed is ever the same as your own The shower head leaked and made the floor wet but that wasn t an inconvenience to me more of a pain for the housekeeping I guess 
7/13/2017,Park Plaza County Hall London, The staff were kind polite very helpful and you could have a joke with them too We received a room upgrade upon check in The room was fabulous The hotel was clean and well presented We loved it and would definitely stay again and recommend to others 
7/12/2017,Park Plaza County Hall London, The view from our room 
7/12/2017,Park Plaza County Hall London, Breakfast was awesome Staff were very friendly and extremely helpful The Bar Restaurant was very convenient and provided great service Loved the food and drinks they had to offer The bedroom and shower was nice I enjoyed my stay and would definitely book a room at Park Plaza County Hall next time I m in town In terms of location you can t beat it all the landmarks are within walking distance and Waterloo station is just around the corner so you can get around town on the tube very easily 
7/12/2017,Park Plaza County Hall London, The location was disappointing due to all the construction in the area which I was unaware of and which spoilt the view from my room I found the area very congested and noisy so would probably not use the hotel again I realize however that this is a personal preference and other guests may enjoy the area 
7/12/2017,Park Plaza County Hall London, The staff were very friendly and helpful and the room was clean and comfortable 
7/12/2017,Park Plaza County Hall London, The reception staff were really unhelpful and glum They never smiled Almost any request was too much trouble In a hotel that has no swimming pool or public rooms the reception staff are key These appear to have been poorly selected trained and not proactively managed A poor reflection of the brand and hotel 
7/12/2017,Park Plaza County Hall London, Great location and helpful porters and concierge staff 
7/11/2017,Park Plaza County Hall London, I discussed my grievance with the duty manager who promised me she would address them upon checkout Upon checkout I was told she was busy however she would email me with her findings As of now now communication have been made 
7/11/2017,Park Plaza County Hall London, NOTHING
7/11/2017,Park Plaza County Hall London, Room had a few damaged bits here and there Very clean though the bed was big but I found it as firm as the sofa bed in our room Air con seemed to be low in the day and fast and very cold in the early hours The other main issue was the lifts In busy times we waited 15 minutes as we had a baby buggy with us I had 1 gripe as I m quite OCD and don t like reusing towels i didn t receive the extra towels I ordered from housekeeping twice once each day 
7/11/2017,Park Plaza County Hall London, Breakfast that was available no veggie full breakfast was very good with nice pastries Staff were nice and sociable throughout the hotel 
7/11/2017,Park Plaza County Hall London, Small for a family of 4 A little over priced for what you get however expected for that time of year Not enough pillows House keeping knocked at our door fairly early which was disappointing as we just flew for 24hours 
7/11/2017,Park Plaza County Hall London, Location of the property
7/11/2017,Park Plaza County Hall London, Air conditioning was a problem We had to let them know twice before it was handled Overall we very much loved our stay 
7/11/2017,Park Plaza County Hall London, upgraded our room went out of their way to quickly check us in The restaurant was a pleasant surprise very good food and service 
7/11/2017,Park Plaza County Hall London, Booked a double room but had two single beds pushed together with two single duvets being with my partner we weren t happy as we had to sleep separated due to this Also there is not enough milk coffee and sugar left in the room
7/11/2017,Park Plaza County Hall London, Booking com has wrong room advertised for Penthouse suite actual room very disappointing Who is to Blame here Staff at reception not helpful about mix up House keeping is very average and be prepared for very long wait for breakfast in the mornings hotel is more concerned about money than the customer 1st photo is what you are shown of room at time of booking next photos actual room After spending over 800 pounds for 2 nights not happy Hotel says there is nothing they can do about what images are shown of rooms yet all there images are copyrighted as per there website has been happening a long time but I believe they are happy for it to keep happening as when you have booked and arrived it s too late money is paid what you going to do attitude 
7/11/2017,Park Plaza County Hall London, Location was great to be honest but after that it s all down hill 
7/10/2017,Park Plaza County Hall London, The breakfast was not how I expected it Also the breakfast staff on the restaurant was not as welcoming 
7/10/2017,Park Plaza County Hall London, Welcoming staff on the front desk Very helpeful Amazing location and view from bedroom 
7/9/2017,Park Plaza County Hall London, I called the hotel to ask if I can pay the last night of our family stay by Maestro debit card and the hotel staff confirmed this is possible When we checked out appeared it is not possible not a huge problem but staff are giving incorrect information 
7/9/2017,Park Plaza County Hall London, Great central location 5 min walk from London eye Big Ben Waterloo station Very clean hotel and great service 
7/9/2017,Park Plaza County Hall London, There is nothing significant to dislike As a way to improve they should provide the following two things especially for families with little kids liquid handwash in the bathroom bottled drinking water because the tap water may not be suitable for young children most hotels around the world in this price range do not charge for water for kids 
7/9/2017,Park Plaza County Hall London, The kitchenette in the room is just the thing a family needs The view of London Eye is great The staff is quite responsive to all needs This includes everyone from front desk restaurant housekeeping and concierge They were very courteous and helpful to us The breakfast is very good too A lot of variety The hotel location is the best part Very close to the Waterloo station A number of trains to places outside of London originate terminate here Couple of bus stops are also nearby Westminster bridge London Eye and other tourist attractions on the river bank are just a short walk The county hall area has a few decent restaurants a starbucks and a convenience store The booking com offer of free entry tickets to various attractions saved us a lot of money It is a very good offer 
7/9/2017,Park Plaza County Hall London, Breakfast was a little busy Hit the peak you would wait but the staff laid out juice coffee for anyone in a queue Breakfast quality itself was excellent
7/9/2017,Park Plaza County Hall London, Little extras made a big difference It was a hot day when we arrived to our room yet the staff had left a keycard in the slot so the air on continued to run had closed the curtains so the room was comfortable There were drinks not the normal water but fruit juices which the kids loved We were a towel short 1 evening 1 phone call to reception towels appeared at the door within 5 minutes The location is superb 5 minutes walk from Waterloo train station so easy access a stone throw from the London Eye the South Bank a bridge walk to either Westminster or Soho We were on the 13th floor we could have been in the country It was quiet no road or plane noise at all 
7/9/2017,Park Plaza County Hall London, Loved the location close to two subway stations big rooms with microwave gym and sauna Aurora spa services also great Liked the good security on entering the property Would go back again Especially with families 
7/9/2017,Park Plaza County Hall London, It s a family hotel so sometimes there are kids running around like it s a playground Apart from that all good
7/9/2017,Park Plaza County Hall London, Superb location and excellent room
7/8/2017,Park Plaza County Hall London, Breakfast was just okay Family suite was perfect Pretty quiet even at night Close to all major London attractions except Greenwich Shakespeare s globe but we walked there just fine 
7/8/2017,Park Plaza County Hall London, There was not much options for the vegetarians in breakfast 
7/8/2017,Park Plaza County Hall London, Great Stay Superb Location Comfy Beds Good English Breakfast Friendly Staff front desk 
7/7/2017,Park Plaza County Hall London, Cleaners woke up us too early in the morning breakfast wasn t worth the money and the food hall was too small so we had to wait in line for quite a while bathroom was awkwardly placed in between beds and room wasn t big enough for two people to walk around at once and there was no bin 
7/7/2017,Park Plaza County Hall London, Location was helpful cleanliness was average reception was nice 
7/7/2017,Park Plaza County Hall London, I was disappointed I emailed and went to no end of trouble to explain what we wanted Everyone was confused However we were told in the end we could upgrade for another 100 00 pound a night which annoyed me We did this as the room we had was dark and too small there was always confusion about things The two tvs were so quiet we couldnt hear them so every time we turned them on we had to call the maintenance man to turn them up which was so annoying In the end they left us with their remote so we didnt have to do it Concierge was very good but depended who was on Breakfast was ok but really really busy Overrall I wouldnt stay again as I would rather be in the middle of the town We had to take a taxi to Oxford St all the time 
7/7/2017,Park Plaza County Hall London, The bed was a good size and the sofa bed was good Good with nespresso machine and microwave We ended up with good big windows and a light room 
7/5/2017,Park Plaza County Hall London, Nothing not a thing my son and I loved it 
7/5/2017,Park Plaza County Hall London, Staff were exceptional I wish there were a higher rating Friendly and chatty while still being highly efficient and making sure our stay was perfect This hotel is an ideal spot for a trip to London we could walk a large majority of places we wanted to go but still very quiet and restful The kitchenette is a lively touch we didn t cook but it apenabled us to store snacks cereal etc And milk and water on the fridge Plenty of wardrobe and storage space Bathroom shower in particular was excellent Breakfast each morning was great and though there are a large number of peopl 14 floors highly organised and efficient Wifi was great easily able to stream Netflix etc And there was a big screen TV with many apps and all the premium channels 
7/5/2017,Park Plaza County Hall London, The digging outside the Reseption But of course this will be finished 
7/5/2017,Park Plaza County Hall London, I have been several times in London This is my best hotel stay Close to everything 
7/4/2017,Park Plaza County Hall London, They need to provide slippers The fridge needs to be bigger To give you an idea of its size it could only fit two 1 5 liter soda bottles 
7/4/2017,Park Plaza County Hall London, The location can t be beaten The separation between the two beds allows parents to hang out in one side of the room while the kids sleep in peace on the other side 
7/3/2017,Park Plaza County Hall London, Could have been more child friendly There were kids in the group that were 4 and six No facilities for children to play or be entertained 
7/3/2017,Park Plaza County Hall London, Staff at breakfast were very good Concierge staff security staff were excellent very helpful Good breakfast for the money 
7/3/2017,Park Plaza County Hall London, Small and very dark room 
7/3/2017,Park Plaza County Hall London, Room was comfortable but very small More intimate than private but clean and tidy Shower difficult to use and poor screen means it leaks on the bathroom floor Compact sink but all in all everything you need and hotel affords a great location 
7/3/2017,Park Plaza County Hall London, Sofa bed was terrible did not sleep whatsoever on the first night The bars were poking through the very thin mattress The amount of money paid for the accommodation I was expecting at least a comfortable bed Everything else was terrific The location and cleanliness A1 
7/3/2017,Park Plaza County Hall London, Proximity excellent
7/1/2017,Park Plaza County Hall London, Our first room was not to our liking We paid a reasonable amount for and upgrade the following day and we were much happier 
7/1/2017,Park Plaza County Hall London, We were greeted so warmly and treated like old friends by the chef upon our late arrival to the restaurant the first night He was an outstanding ambassador for the hotel and made us feel very welcome and special 
6/30/2017,Park Plaza County Hall London, Booked the hotel room one month prior to the check in date to get the the best price possible However I found out that the room rate went down considerably before my stay More than 350 GPB for 8 nights Communicating with the hotel management they did not agree to lower the price Booking com made a wonderful gesture keeping its promise of best price guarantee Booking com refunded me 352 GBP the difference in the price Thank you Booking com for keeping the promise 
6/30/2017,Park Plaza County Hall London, I like the Location that is close to London Eye Big Ben and the Themes I like the nice room size 
6/30/2017,Park Plaza County Hall London, I did not like the bathtub with the shower The shower was difficult to use without getting water everywhere and the bathtub was difficult to get in and out of 
6/30/2017,Park Plaza County Hall London, The staff was extra helpful and friendly The breakfast was good and the chef made sure we got what we wanted I also like that the hotel was close to where we wanted to be 
6/29/2017,Park Plaza County Hall London, Restaurant is dual purpose Good menu in the evening and very professionally run by the staff Breakfast very ordinary I am afraid Food from the cooked options cold Toaster both of them are not user friendly especially when there are children using them Tried the option of ordering breakfast next day as per the options Eggs Benedictine were excellent as was the restaurant service 
6/29/2017,Park Plaza County Hall London, Complimentary upgrade to suite well received Room absolutely perfect especially after long working day Location is great for South Bank and County Hall exhibitions and conferences 
6/28/2017,Park Plaza County Hall London, The sound proofing of the room is terrible and you could here everything outside the door and in other room The layout of the room is very strange with the bed just beside the door and living room at the end of the room The location of the hotel is ok it looks very close to the underground but actually need to walk 10min from the station Not impressed with the service of the staff either 
6/26/2017,Park Plaza County Hall London, They purposely not allowed my parents to check in one hour earlier since the room was ready The reason I wanted to check in earlier because my parents took a 15hours flight and need to take a rest before going out but the lady said the hotel policy stated check in time is at 3pm but before that she kept on allowing other customer non asian customer to check in I FELT DISCRIMINATED 
6/26/2017,Park Plaza County Hall London, The room was lovely Small by American standards but to be expected in Europe The beds were very comfy and the room has a coffee and refrigeration station Plenty of storage for your clothing and bags Perfect room for 2 people Lovely hotel Would stay here again Location is superb 
6/24/2017,Park Plaza County Hall London, It was a bank holiday so breakfast was not served at 6 30 AM as expected We had to wait until 7 7 15 AM so a rush to get to the airport for our early morning flight 
6/24/2017,Park Plaza County Hall London, Doorman was very helpful obtaining a taxi for a early morning flight Helped with our luggage and opening the taxi doors for myself and my travel buddy 
6/23/2017,Park Plaza County Hall London, Only one point toilet paper holder doesn t work the roll keeps popping out
6/23/2017,Park Plaza County Hall London, The hotel staff were lovely and I loved the layout of the room Also my mother called in to do something special for my birthday and the hotel staff were great about it Big thank you to them 
6/23/2017,Park Plaza County Hall London, Disappointed by Bar staff was ignored for ten minutes bar was quiet and staff were chatting to each other and when I finally got attention and asked for half a lager I was told rather rudely that I d need to wait until my allocated waiter was free I waited for a few more minutes I had been walking in 35 degree heat and finally gave up 
6/23/2017,Park Plaza County Hall London, Comfy beds and sheets huge room with fridge and microwave two tellies Very polite and helpful reception staff 
6/22/2017,Park Plaza County Hall London, There was a lot of construction in the area and the outside of the hotel is not picturesque but location makes up for this I would recommend asking for a room with a view I didn t even think about this when booking but was so happy with our room location on an upper floor The bathroom had a sliding glass door which lacked privacy this was not a big deal as I was traveling with my husband but might be weird if traveling with friends 
6/22/2017,Park Plaza County Hall London, We had a corner room on the 11th floor with two large windows Spectacular views of Big Ben Palace of Westminster the London Eye and the city skyline over the Waterloo train station This location is awesome to go to all the Southbank attractions restaurants Waterloo train underground station Westminster Bridge and longer walks along the Thames with easy access across the many bridges into the center of the city Summer night life is so much fun as the sun didn t set until after 9 30 pm and we enjoyed a glass of wine or a pitcher of Pimm s at the Southbank Centre almost every night The room was spacious especially for a hotel in London and the bed was large and comfy This is a high rise hotel so not a boutique hotel experience but the location and value for the price can t be beat The staff were super friendly and very helpful We didn t eat at the restaurant on site so can t give a review but would highly recommend this hotel 
6/21/2017,Park Plaza County Hall London, TV didn t work Poor lighting in room Poor toilet roll fittings No dressing gown or slippers Could have been cleaner Room had no privacy as overlooked by other rooms Also room overlooked restaurant Not up to 4 star rating Shower difficult to operate
6/21/2017,Park Plaza County Hall London, Nothing in particular
6/21/2017,Park Plaza County Hall London, This is the first time I d stayed in this hotel but it certainly won t be the last From the staff on the reception desk and the concierges to the staff in the Italian restaurant I could find no faults Everyone was very welcoming and friendly By London standards the twin bedded room was surprisingly spacious and the bed pillows so comfortable 
6/20/2017,Park Plaza County Hall London, Room temperature and debris falling from the air conditioning 
6/20/2017,Park Plaza County Hall London, The way we were checked in by Mariah giving us a good room and making our wedding anniversary so special 
6/20/2017,Park Plaza County Hall London, Getting woken twice up by drunken people shouting and hanging around in the corridor at 4am Not what you d expect with security about only sorted it once we called reception Bad night sleep 
6/20/2017,Park Plaza County Hall London, The traffic was a shambles outside the hotel
6/20/2017,Park Plaza County Hall London, This hotel was very nice a great location near Westminster Bridge for city access The breakfast was very good A bonus was the free laundry for guests which was great after 2 weeks on the road The concierge was very friendly helpful as were the baggage guys on the front door 
6/20/2017,Park Plaza County Hall London, There were no actual shops nearby I like to step out on the street and have things to look at We had to taxi to the main centre of London
6/20/2017,Park Plaza County Hall London, We didnt like our first room It was too dark but for more money we got shifted to a bigger room with great light We had continual problems with the tv volume Everytime we turnef it on we had to call maintenance to fix the volume That was annoying The buffet breakfast was excellent but room service meal terrible They refunded our meal though 
6/20/2017,Park Plaza County Hall London, The room was a little hot during the night even with the air con turned right up as no windows that could open in the room
6/20/2017,Park Plaza County Hall London, Ideal location just a stones through from Waterloo Station Clean rooms beautiful bathroom Kettle fridge sink which was handy and iron ironing board in the room which was nice Two TV s was a nice touch so that people in both parts of the room could watch TV Comfortable bed too 
6/19/2017,Park Plaza County Hall London, Impersonal 
6/19/2017,Park Plaza County Hall London, Modern rooms close to nearly tube station and a short walk to the London Eye Great location if you want to be close to tourist hot spots but dont want to stay in a super busy area Clean and suitable rooms 
6/19/2017,Park Plaza County Hall London, Each day breakfast we had to ask repeatedly for a spoon for our coffee Sometimes we had to ask several times Even then sometime we never receive it Not impressive Major construction in front of the hotel It was loud with a lot of dirt and dust being thrown into the air Careful you don t get it in your eye or breath too deeply Everything else was good 
6/19/2017,Park Plaza County Hall London, The staff on duty in the lobby and at the front desk were GREAT 
6/18/2017,Park Plaza County Hall London, poor wifi all staff were nice except Ramzi at the bar who was unwelcoming and seemed to hate his job 
6/18/2017,Park Plaza County Hall London, Nice central location lovely view from our bedroom most staff were very welcoming and nice 
6/18/2017,Park Plaza County Hall London, The tv in the bedroom was inset too far into the cubby where only one person can see the tv 
6/18/2017,Park Plaza County Hall London, I liked the room layout because the bath room kitchen separated the room with the queen size bed and the living room which had a pull out couch that our 19 year old son stayed in 
6/17/2017,Park Plaza County Hall London, the images they showed for executive studio city view while booking had a great city view and when i physically saw the room there is this hotel right in front blocking the view It wasn t worth spending the money 
6/17/2017,Park Plaza County Hall London, The cleanliness of the whole location 
6/17/2017,Park Plaza County Hall London, Crowded reception and queues Room 109 room is next to something that makes noise during night which sounds like patio being opened Appalling breakfast grumpy staff queues and restaurant crammed tables too close to each other not big enough for restaurant
6/17/2017,Park Plaza County Hall London, Bar staff were attentive and service great
6/16/2017,Park Plaza County Hall London, Nothing location was excellent staff were super helpful and their Italian restaurant a had extremely good good at reasonable prices
6/16/2017,Park Plaza County Hall London, Extremely clean modern and updated great room set up for a family with two children The double bed is in one room and the kids have a fold out couch in the other 
6/16/2017,Park Plaza County Hall London, We couldn t open the curtains in the morning because of the heat The airconditioner did NOT cope Hot I don t know how you could stay there if the weather was actually hot The view from our room was Waterloo Station 
6/16/2017,Park Plaza County Hall London, The location was great Close to major attractions and transport We enjoyed the breakfasts We heard very little noise from Waterloo Station despite our room overlooking it 
6/15/2017,Park Plaza County Hall London, Noisy until 2 am Adults and children talking in the aisles slamming doors and no one from the hotel asked them to be more respectful 
6/15/2017,Park Plaza County Hall London, Amazing Staff Great customer service Spacious clean and comfortable room 
6/12/2017,Park Plaza County Hall London, Cooked breakfast option was dreadful Bacon looked like it was mechanically shredded no rashers just bits Scrambled eggs tasted disgusting Beans were only warm Stuck to the much nicer fresh option Triple room flooded as soon as shower went on Spoke to reception who said she was unable to reduce the bill 
6/12/2017,Park Plaza County Hall London, Plenty of selection at breakfast Attentive staff 
6/12/2017,Park Plaza County Hall London, Too many issues to get sorted with the room Bath plug not working no remote for the T V piece of skirting board kept falling off which had a nail sticking out had to keep asking to get tea and coffee renewed and for the sheets to be changed Staff were very helpful and kept sending people up to sort problems but for what we were paying we expected more There were also a lot of roadworks outside the hotel which meant we didn t use the hotel cafe and it took longer to walk some places 
6/12/2017,Park Plaza County Hall London, Comfortable bed and a good sized room Able to make hot drinks and having an ice machine in the hallway was a bonus Water and sweets were left for us on arrival Staff dealt with problems with the room quickly Could to see part of the London Eye and Big Ben from the window so we enjoyed the view Laundry room was useful when you have a longer stay 
6/12/2017,Park Plaza County Hall London, A bit of construction around the area
